sleep_time,wake_time,sleep_quality,rested_morning,snooze_time,rested_overall,nap_time
11-03-2021 00:24,11-03-2021 06:00,4,3,0,6,0
11-03-2021 23:33,12-03-2021 05:54,3,3,11,3,0
13-03-2021 03:23,13-03-2021 12:06,2,3,0,3,0
13-03-2021 22:45,14-03-2021 06:41,6,5,0,5,0
15-03-2021 00:18,15-03-2021 06:03,4,4,0,5,0
16-03-2021 00:34,16-03-2021 06:01,3,3,0,2,0
17-03-2021 00:16,17-03-2021 06:00,4,4,77,4,0
18-03-2021 00:04,18-03-2021 06:08,4,2,0,2,0
19-03-2021 01:07,19-03-2021 06:00,4,3,0,3,0
20-03-2021 05:20,20-03-2021 14:00,2,2,0,2,0
20-03-2021 23:26,21-03-2021 06:34,5,4,0,6,0
22-03-2021 00:50,22-03-2021 06:38,5,5,0,5,0
23-03-2021 00:44,23-03-2021 06:17,5,4,0,5,0
23-03-2021 23:33,24-03-2021 06:23,4,4,0,3,0
24-03-2021 23:38,25-03-2021 06:00,5,4,0,5,0
25-03-2021 23:33,26-03-2021 05:43,5,5,0,5,0
26-03-2021 23:07,27-03-2021 07:14,6,5,0,6,0
27-03-2021 22:11,28-03-2021 07:42,5,6,0,5,0
29-03-2021 00:50,29-03-2021 07:01,4,3,0,4,0
30-03-2021 00:03,30-03-2021 06:59,5,5,0,4,0
31-03-2021 00:11,31-03-2021 07:00,6,5,0,5,0
01-04-2021 00:15,01-04-2021 07:01,5,6,0,6,0
01-04-2021 21:53,02-04-2021 07:17,6,6,0,5,0
02-04-2021 22:44,03-04-2021 06:16,4,4,0,5,0
03-04-2021 23:26,04-04-2021 06:16,4,5,0,5,0
04-04-2021 23:23,05-04-2021 05:57,3,4,0,3,0
05-04-2021 23:19,06-04-2021 06:41,6,5,0,5,0
06-04-2021 23:40,07-04-2021 06:16,5,4,0,4,0
07-04-2021 23:28,08-04-2021 07:03,6,6,0,6,0
09-04-2021 00:17,09-04-2021 06:54,5,5,0,5,0
10-04-2021 00:07,10-04-2021 06:29,5,4,0,5,0
11-04-2021 00:14,11-04-2021 06:56,3,3,0,3,0
11-04-2021 21:59,12-04-2021 06:07,6,5,0,6,0
12-04-2021 23:48,13-04-2021 06:39,5,4,0,5,0
13-04-2021 23:26,14-04-2021 05:41,4,5,0,4,0
