sleep_time,wake_time,sleep_quality,rested_morning,snooze_time,rested_overall,nap_time
15/03/2021 23.00,16/03/2021 07.30,5,6,15,6,0
16/03/2021 23.30,17/03/2021 07.30,5,5,20,6,0
17/03/2021 23.00,18/03/2021 07.30,6,7,0,6,0
18/03/2021 23.00,19/03/2021 07.30,7,6,15,6,0
19/03/2021 23.59,20/03/2021 08.15,7,6,10,6,0
21/03/2021 01.30,21/03/2021 08.45,7,6,0,6,0
21/03/2021 23.00,22/03/2021 06.30,4,5,45,6,0
22/03/2021 23.30,23/03/2021 07.55,6,6,0,7,0
23/03/2021 23.30,24/03/2021 07.30,4,5,0,5,0
24/03/2021 23.30,25/03/2021 06.30,6,6,10,6,0
25/03/2021 23.30,26/03/2021 06.45,6,6,5,5,0
26/03/2021 00.30,27/03/2021 08.20,6,5,0,5,0
27/03/2021 23.30,28/03/2021 08.30,7,6,0,6,0
28/03/2021 23.59,29/03/2021 07.10,4,5,15,6,0
29/03/2021 23.30,30/03/2021 07.30,6,6,15,7,0
30/03/2021 23.30,31/03/2021 07.00,4,4,5,5,0
31/03/2021 23.30,01/04/2021 07.00,6,6,0,6,0
01/04/2021 23.30,02/04/2021 08.00,6,6,5,5,15
03/04/2021 00.30,03/04/2021 08.30,6,6,10,5,0
03/04/2021 23.30,04/04/2021 08.30,7,7,0,6,45
04/04/2021 23.59,05/04/2021 08.30,7,6,15,7,0
05/04/2021 23.59,06/04/2021 07.30,7,5,5,6,0
06/04/2021 23.59,07/04/2021 07.00,6,6,5,6,0
07/04/2021 23.15,08/04/2021 07.00,7,6,0,6,0
08/04/2021 23.30,09/04/2021 08.00,7,6,10,6,0
10/04/2021 01.00,10/04/2021 08.30,7,6,0,6,0
10/04/2021 23.59,11/04/2021 07.30,7,6,0,7,0
11/04/2021 23.30,12/04/2021 06.30,7,6,5,5,0
12/04/2021 23.30,13/04/2021 06.15,6,6,5,6,0
13/04/2021 23.30,14/04/2021 07.30,7,5,15,0,0
