sleep_time,wake_time,sleep_quality,rested_morning,snooze_time,rested_overall,nap_time
11-03-2021 01:45,11-03-2021 09:30,4,2,70,,0
11-03-2021 22:50,12-03-2021 09:20,5,5,0,,0
12-03-2021 23:20,13-03-2021 08:00,5,5,30,,0
14-03-2021 03:00,14-03-2021 09:40,6,6,0,,0
14-03-2021 23:10,15-03-2021 09:50,6,4,0,,0
15-03-2021 23:45,16-03-2021 07:45,5,2,40,,0
17-03-2021 00:45,17-03-2021 08:20,3,2,0,,0
17-03-2021 23:50,18-03-2021 10:00,4,3,60,,0
18-03-2021 23:20,19-03-2021 09:30,2,2,30,,30
20-03-2021 01:45,20-03-2021 10:10,4,2,0,,0
20-03-2021 22:50,21-03-2021 09:15,6,6,0,,0
21-03-2021 23:30,22-03-2021 08:30,4,5,0,,0
23-03-2021 01:30,23-03-2021 09:15,4,4,15,,0
24-03-2021 00:25,24-03-2021 08:20,3,2,30,,0
24-03-2021 23:40,25-03-2021 09:30,6,3,40,,0
25-03-2021 22:45,26-03-2021 09:45,5,1,60,,0
27-03-2021 03:25,27-03-2021 10:05,6,2,0,,0
28-03-2021 00:55,28-03-2021 10:55,4,4,0,,0
28-03-2021 22:45,29-03-2021 09:30,6,7,0,,0
29-03-2021 23:15,30-03-2021 09:20,5,6,0,,0
31-03-2021 03:20,31-03-2021 09:45,3,2,0,,0
01-04-2021 01:20,01-04-2021 10:40,4,3,0,,0
01-04-2021 23:55,02-04-2021 10:10,6,6,0,,0
02-04-2021 23:10,03-04-2021 08:30,4,4,30,,0
04-04-2021 03:00,04-04-2021 10:20,3,2,0,,0
04-04-2021 23:50,05-04-2021 10:10,5,6,0,,0
06-04-2021 00:55,06-04-2021 07:50,2,1,30,,30
07-04-2021 00:05,07-04-2021 09:10,3,2,0,,0
07-04-2021 23:20,08-04-2021 09:30,6,4,0,,0
